X,Y,Z
-38.4915,-93.9782,-20.6578
-38.4915,-93.9596,-20.6578
-38.5012,-93.9596,-20.6578
-38.5012,-93.9596,-20.6578
-38.5012,-93.941,-20.6578
-38.511,-93.9225,-20.6578
-38.511,-93.9225,-20.6578
-38.511,-93.9039,-20.6578
-38.511,-93.8853,-20.6578
-38.511,-93.8853,-20.6578
-38.5207,-93.8668,-20.7578
-38.5207,-93.8482,-20.7578
-38.5305,-93.8482,-20.7578
-38.5305,-93.8296,-20.7578
-38.5403,-93.8111,-20.7578
-38.5403,-93.8111,-20.7578
-38.55,-93.7925,-20.7578
-38.55,-93.7925,-20.7578
-38.55,-93.7739,-20.7578
-38.5598,-93.7739,-20.7578
-38.5598,-93.7554,-20.7578
-38.5695,-93.7368,-20.7578
-38.5695,-93.7368,-20.7578
-38.5598,-93.7368,-20.7578
-38.55,-93.7554,-20.7578
-38.5305,-93.774,-20.7578
-38.5207,-93.8111,-20.7578
-38.4817,-93.8668,-20.7578
-38.4622,-93.941,-20.7578
-38.4134,-94.0153,-20.7578
-38.3743,-94.1267,-20.7578
-38.3157,-94.2381,-20.8578
-38.2474,-94.3309,-20.8578
-38.1889,-94.4608,-20.8578
-38.1108,-94.6279,-20.8578
-38.0424,-94.7393,-20.8578
-37.9643,-94.8692,-20.8578
-37.8667,-95.0178,-20.8578
-37.7886,-95.1663,-20.9578
-37.7105,-95.3333,-20.9578
-37.6129,-95.4819,-20.9578
-37.5153,-95.6304,-21.0578
-37.4079,-95.7974,-21.0578
-37.3201,-95.946,-21.1578
-37.2127,-96.113,-21.1578
-37.1053,-96.2801,-21.1578
-36.998,-96.4472,-21.2578
-36.8906,-96.6143,-21.2578
-36.7735,-96.7814,-21.2578
-36.6661,-96.9484,-21.3578
-36.549,-97.1155,-21.3578
-36.4416,-97.2826,-21.3578
-36.3342,-97.4311,-21.4578
-36.2268,-97.5982,-21.4578
-36.139,-97.7653,-21.4579
-36.0414,-97.9323,-21.5579
-35.9535,-98.118,-21.5579
-35.8657,-98.2851,-21.5579
-35.7778,-98.4707,-21.5579
-35.6997,-98.6378,-21.6579
-35.6216,-98.8234,-21.6579
-35.5533,-98.9905,-21.6579
-35.4752,-99.1761,-21.7579
-35.4069,-99.3618,-21.7579
-35.3288,-99.5289,-21.7579
-35.2507,-99.6959,-21.7579
-35.1824,-99.8816,-21.8579
-35.1043,-100.0486,-21.8579
-35.0262,-100.2157,-21.8579
-34.9579,-100.3828,-21.9579
-34.8798,-100.5499,-21.9579
-34.8017,-100.717,-21.9579
-34.7236,-100.884,-21.9579
-34.6553,-101.0511,-21.9579
-34.5772,-101.2182,-22.0579
-34.5088,-101.3853,-22.0579
-34.4308,-101.5523,-22.0579
-34.3624,-101.7009,-22.0579
-34.2746,-101.8679,-22.0579
-34.2062,-102.0164,-22.1579
-34.1282,-102.2021,-22.1579
-34.0598,-102.3506,-22.1579
-33.9915,-102.4806,-22.1579
-33.9232,-102.5919,-22.1579
-33.8548,-102.7219,-22.1579
-33.7963,-102.8518,-22.1579
-33.7279,-102.9632,-22.1579
-33.6499,-103.0932,-22.1579
-33.5913,-103.2603,-22.1579
-33.523,-103.3902,-22.1579
-33.4546,-103.5016,-22.1579
-33.3961,-103.6315,-22.2579
-33.3277,-103.78,-22.2579
-33.2692,-103.9286,-22.2579
-33.2106,-104.0585,-22.2579
-33.1423,-104.1885,-22.2579
-33.0837,-104.337,-22.2579
-33.0251,-104.4669,-22.2579
-32.9666,-104.5969,-22.2579
-32.8982,-104.7454,-22.2579
-32.8397,-104.8753,-22.2579
-32.7811,-105.0053,-22.2579
-32.7225,-105.1538,-22.258
-32.664,-105.2838,-22.258
-32.6054,-105.4323,-22.258
-32.5468,-105.5622,-22.258
-32.4883,-105.6922,-22.258
-32.4297,-105.8407,-22.258
-32.3711,-105.9706,-22.258
-32.3126,-106.1191,-22.258
-32.254,-106.2491,-22.358
-32.1857,-106.3976,-22.358
-32.1271,-106.5276,-22.358
-32.0685,-106.6761,-22.358
-31.9904,-106.806,-22.358
-31.9319,-106.936,-22.358
-31.8635,-107.0659,-22.358
-31.7952,-107.2144,-22.358
-31.7464,-107.3444,-22.358
-31.6878,-107.4929,-22.358
-31.6293,-107.6228,-22.358
-31.5707,-107.7714,-22.358
-31.5121,-107.9013,-22.358
-31.4536,-108.0313,-22.358
-31.3852,-108.1798,-22.358
-31.3267,-108.3097,-22.358
-31.2681,-108.4397,-22.358
-31.2095,-108.5696,-22.358
-31.1412,-108.7181,-22.358
-31.0826,-108.8481,-22.458
-31.0143,-108.978,-22.458
-30.9557,-109.1265,-22.458
-30.8972,-109.2565,-22.458
-30.8288,-109.3864,-22.458
-30.7703,-109.535,-22.458
-30.7019,-109.6649,-22.458
-30.6434,-109.7949,-22.458
-30.575,-109.9434,-22.458
-30.5165,-110.0733,-22.458
-30.4481,-110.2218,-22.458
-30.3798,-110.3518,-22.458
-30.3115,-110.5003,-22.458
-30.2334,-110.6488,-22.458
-30.1651,-110.7973,-22.458
-30.087,-110.9644,-22.458
-29.9991,-111.1315,-22.458
-29.921,-111.2986,-22.458
